mod_reg,mod_num,cor_mn,cor_sd,bias_mn,bias_sd,per_bias_mn,per_bias_sd,rmse_mn,rmse_sd,mae_mn,mae_sd,mape_mn,mape_sd,dev_expl_mn,dev_expl_sd
EBS,0,0.7071838876337696,0.06499687690159375,0.03944361518829347,0.30106844852986286,-0.07858791331567068,0.10395650406208805,1.4240923786224668,0.21850348536019928,0.998104601900001,0.1752919860329395,0.24268370779918683,0.0859632591351459,NA,NA
EBS,1,0.7391290187637896,0.05371985564935617,-0.006178926407344732,0.2711619389719426,-0.09689949688066114,0.09462959422467261,1.2899619473776143,0.18262579071680107,0.9305318916227499,0.16043676213310604,0.2359552921307228,0.08200359353590982,23.362020413089972,1.5535088309878609
EBS,2,0.7969958294253804,0.044764116217546536,-0.020984821293314058,0.1270656409944579,-0.0669330110844762,0.033228741017647404,1.1217431666960238,0.06851313968188195,0.8109400210282979,0.06603634143219891,0.19181940411021547,0.04573368122801646,47.99053981380027,1.2182838292272098
EBS,3,0.8039928185939864,0.04755266351088904,-0.008945925566959799,0.3254682027970035,-0.07962351371831905,0.09919743290302638,1.1583964299110778,0.1862058313104198,0.8371529598633844,0.15207340010606393,0.20970268121859323,0.07103269455225236,40.79526888988347,1.3474679589008778
EBS,4,0.7498091765884756,0.044535696168558514,0.0029881213412123954,0.24311013963594622,-0.0854831329086564,0.06797454007016597,1.25458839403995,0.16007320592261126,0.926596275320306,0.13662081678233146,0.22552110695474134,0.06625681561104457,29.578956307623667,1.7328535180171978
EBS,5,0.8864244481640935,0.03796633486529435,-0.0367823502650391,0.09575112481324716,-0.04129372893874563,0.024354296242133658,0.8514672875304979,0.09257553381002796,0.6181912505658165,0.050481125897775425,0.14245886918971118,0.027758995385538988,72.72747587650471,0.6204840995205483
EBS,6,0.8043751138387896,0.0403725470725189,-0.020257675620478033,0.12239537115445147,-0.06481589719383006,0.03231309530621113,1.1036132348272318,0.07127810430530808,0.8010193103480641,0.06773474033713137,0.18927845808207627,0.046596134457105025,49.609044634194824,1.2814102716232634
EBS,7,0.8275659584000518,0.039621724948479174,0.007585237968163534,0.32615399949778817,-0.06203502831053827,0.07137207669074395,1.0828142563674779,0.2052772034396383,0.7948188575843973,0.16735897179594486,0.18667652605630702,0.04885161537400261,50.51758710691121,2.0209817023475867
EBS,8,0.8895069428261002,0.03578325153437461,-0.037805908747838374,0.09560718030960098,-0.040302702355598595,0.02476021345367574,0.8420002402844277,0.09189912965775225,0.6128043393800587,0.04711005099183148,0.1403579405045002,0.027037148664859505,73.60592410899999,0.6338288926158551
AI,0,0.5623964669021292,0.13848110755404314,0.4318050760235239,0.17242487702430004,0.05512450336004772,0.022172894074352023,0.8009907035084675,0.15221353156297238,0.6274560216348274,0.13518369312232728,0.08126719770856464,0.01634944398046441,NA,NA
AI,1,0.6469203928170556,0.11166545882857237,-0.005416645584875386,0.11358095007207367,-0.005288998079895851,0.014852782303142336,0.5242295032301014,0.08140199258936621,0.4093624746503734,0.061169212560721276,0.05404679481870171,0.006990120321625943,42.631559852831465,2.14610886976185
AI,2,0.6480839175022972,0.1112977440296282,0.026858707974201115,0.1254193413230775,5.650592503774511e-5,0.016433055464494216,0.5391690561430336,0.08954989968094794,0.4147729643550014,0.06590784034354338,0.054695221358763785,0.0076147365306296864,55.513847061546635,1.0458703992186096
AI,3,0.7952480196746751,0.06075234563164567,-3.535238481829065e-4,0.10709796783112996,-0.002876924137778691,0.014433442284353044,0.42147484133690777,0.06613144690525653,0.32265187314994853,0.048050873968847926,0.04258081536794593,0.006033599248167442,64.50477617496597,1.4378104613308165
AI,4,0.671665522654215,0.09707096696287468,-0.006221226988809032,0.11174702642294942,-0.005185211168063893,0.014485310232086872,0.5146297688328446,0.0813288765702833,0.40170096986182,0.060811025645234294,0.05302451880540331,0.006867298047590467,45.81950736459976,1.9436984107713067
AI,5,0.8006061007325493,0.053537913191984116,0.02487371861855736,0.10694226935585117,0.0013382312559110695,0.014140314018835603,0.4249546902219532,0.06801219771483549,0.32381072465852284,0.052931815201978226,0.042701287376042174,0.006245934600675025,74.84940412283353,0.627859010218054
AI,6,0.6984865142646945,0.09268929773989586,0.023838236790759384,0.12579765239045182,6.757375861492438e-5,0.01636045941975916,0.5089895054367183,0.09082873513448395,0.3949017968027486,0.06493711753279793,0.052119004749303234,0.007456992148327285,60.82797724130453,0.7481659217204972
AI,7,0.8117693797474776,0.052975880835848387,-0.006364167644926176,0.09762817138270673,-0.0034853641113923393,0.013042402127642,0.40848520226160767,0.06644423620421216,0.3146605091372812,0.04739458429898394,0.04159044946874136,0.005617536849818074,67.14944585890753,1.416110951238938
AI,8,0.8305577399897766,0.041334012555180745,0.032118770177116354,0.10839596805047032,0.00263151663851103,0.014306526651817175,0.4019510154863247,0.0827492997855245,0.3072481995647394,0.05986184111427351,0.040649110902996125,0.007152876754096669,78.81322514052212,0.6084894326568254
GOA,0,0.7383074126161354,0.03613331114078893,0.04031819707971928,0.2115512243857055,0.0026912737705940483,0.023438619388549107,1.0310563015021132,0.1302242536113955,0.7154937082366535,0.08170002540014601,0.0795362198708924,0.007999805800117839,NA,NA
GOA,1,0.7969079359716973,0.02669896240880603,8.079364161397597e-4,0.14934186450660655,-0.006815956477442861,0.016486667979409817,0.7594302476918312,0.07708922731572172,0.5436587844363726,0.057028102896974596,0.06131879485531842,0.006055867631157367,49.019537691404345,1.1033144134816653
GOA,2,0.7780971074871463,0.051793602690875226,-0.0247737713991439,0.25224504917066093,-0.006797732428936065,0.028372277168505097,0.8540272222112212,0.17752525211375025,0.6181337001448277,0.11226974542604223,0.06912304548527495,0.011154639201154752,68.27358137834258,0.6222049350342362
GOA,3,0.8339825936759389,0.024713201149981278,0.001468995116672849,0.1630355618243824,-0.005659757749589195,0.017735379922832282,0.6990345835595042,0.08355809802185239,0.4981090736854569,0.06167421805758501,0.05609012672163365,0.006430943683760089,57.21977777705481,1.1149978560628495
GOA,4,0.8115727266802613,0.01801706183430912,-0.002015658265413628,0.1398309792676695,-0.006664134756245987,0.015353069092349405,0.733502948095623,0.07148443149513341,0.5342045611392132,0.05428028772299694,0.06030877044383061,0.005488910175997292,52.92444281176459,1.0296329048132291
GOA,5,0.8346680203695672,0.037186379823977385,-0.026602852920990124,0.21288072354716275,-0.006124410385512531,0.0243233398358469,0.7324866459738839,0.13037436625233828,0.5317384904348222,0.08766480187605707,0.05936180719775388,0.008527797147185299,76.27522467761322,0.5384857462476087
GOA,6,0.788539854632732,0.04919382485613437,-0.034358804863852226,0.24022744962211015,-0.007888826364121517,0.027079321791521963,0.8273936719780155,0.16709279557010934,0.6042853838544597,0.10760624033548041,0.06765391420190485,0.01058131789799596,69.01289127543771,0.6361186865107272
GOA,7,0.8534974486721402,0.013009269615544633,-8.568904770125177e-4,0.1529521713387124,-0.005250345515987744,0.01642834376475953,0.661176882937358,0.07310910239866028,0.4808416353075422,0.05344662108230557,0.054151702190119104,0.004976383634554823,62.285458148995886,0.9542093011957072
GOA,8,0.8465204787886254,0.03323722199633006,-0.03301454976813782,0.19136529960822898,-0.006790541997955263,0.022060911039335638,0.6993875373357772,0.11538804876142206,0.5108955090679916,0.08152464473242682,0.05709274421266995,0.00772865590713322,77.49998635795197,0.5421359030075491
